Torso Up;
Honed Blade;Greatly increases Attack, and raises your weapon's Sharpness.
Silver Bullet;Increases the power of Normal, Pierce and Pellet shots, and Rapid, Pierce and Spread-type arrows.
Wellness;Prevents Poison, Paralysis, Sleep, and Stun.
Wrath Awoken;"At higher Health, grants Guts effects; at lower Health, boosts Attack and Defense."
Bio Master;Increases Dung Bomb efficacy. Prevents item usage blocks and Blastblight. Delays the Frenzy.
Bio Researcher;Increases Dung Bomb efficacy. Prevents item usage blocks and Blastblight.
Acrobat;Slows Stamina depletion when blocking, evading, or dive-evading. Increases evasion invulnerability.
Sheath Control;Grants ability to Stun monsters with draw attacks from cutting weapons. Also allows faster sheathing, etc.
Iron Wall;Increases your Defense and negates the effects of Defense Down.
Ruthlessness;Increases damage when attacking enemy weak points, and increases Affinity by 15%.
Bloodthirst;Speeds up gauges/charged attacks. Can eat Raw Meat, and Steaks temporarily grant unlimited Stamina.
Shield Bearer;Causes previously unblockable attacks to become blockable, and increases Stamina recovery speed.
Fleet Feet;Increases evade distance, and also increases Attack when your Health Gauge is full.
Elementality;Increases the power of elemental attacks and extends the effect time of certain items.
Pack Rat;Raises number of items that can be gathered at Gathering Points. Allows mining 2 Charms at once... Maybe.
Bounty Hunter;Increases the likelihood of obtaining more Quest Rewards and more Reward Items for captures.
Awaken;Skills that release the latent elemental properties in some weapons that don't have elements.
Mind's Eye;Prevents your attacks from being deflected.
Blind Eye;Causes your attacks to be deflected more easily.
Sharpness +1;Increases your weapon's Sharpness.
Critical Draw;Increases Affinity for all draw attacks by 100%.
Punishing Draw;Grants ability to Stun monsters with draw attacks from cutting weapons and slightly increases Attack.
Reload Speed +3;Greatly speeds up Bowgun reloading, and auto-loads Bow coatings.
Reload Speed +2;Speeds up Bowgun reloading, and auto-loads Bow coatings.
Reload Speed +1;Slightly speeds up Bowgun reloading, and speeds up Bow-coating loading.
Reload Speed -1;Slightly slows down Bowgun reloading and Bow-coating loading.
Reload Speed -2;Slows down Bowgun reloading and Bow-coating loading.
Reload Speed -3;Greatly slows down Bowgun reloading and Bow-coating loading.
Recoil Down +3;Greatly reduces Bowgun recoil.
Recoil Down +2;Reduces Bowgun recoil.
Recoil Down +1;Slightly reduces Bowgun recoil.
Recoil Down -1;Slightly increases Bowgun recoil.
Recoil Down -2;Increases Bowgun recoil.
Recoil Down -3;Greatly increases Bowgun recoil.
Bonus Shot;Allows one extra shot to be fired while Rapid Firing.
Latent Power +2;Greatly empowers you for a limited time when certain conditions are met.
Latent Power +1;Empowers you for a limited time when certain conditions are met.
Challenger +2;Greatly increases Attack and Affinity when a large monster in the same area becomes angry.
Challenger +1;Increases Attack and Affinity when a large monster in the same area becomes angry.
Rock Steady;Lessens your reaction when attacked.
Charm God;Allows you to mine two Charms at once, maybe.
Charm Chaser;Allows you to mine two Charms at once... Maybe.
Charm Collector;Allows you to mine two Charms at once... Maaaybe.
Weakness Exploit;Increases damage when striking body parts upon which your attacks are highly effective.
Blightproof;Negates all elemental blights (Fire, Water, Thunder, Ice, and Dragon).
Attack Up (XL);Massively increases Attack.
Attack Up (L);Greatly increases Attack.
Attack Up (M);Increases Attack.
Attack Up (S);Slightly increases Attack.
Attack Down (S);Slightly decreases Attack.
Attack Down (M);Decreases Attack.
Attack Down (L);Greatly decreases Attack.
Defense Up (XL);Massively increases Defense.
Defense Up (L);Greatly increases Defense.
Defense Up (M);Increases Defense.
Defense Up (S);Slightly increases Defense.
Defense Down (S);Slightly decreases Defense.
Defense Down (M);Decreases Defense.
Defense Down (L);Greatly decreases Defense.
Gathering God;Very often raises the number of times items can be gathered at Gathering Points.
Gathering +2;Often raises the number of times items can be gathered at Gathering Points.
Gathering +1;Sometimes raises the number of times items can be gathered at Gathering Points.
