;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
Rompedor oculto;;p;1
Rompedor oculto;;p;2
Rompedor oculto;;p;3
Rompedor oculto;;p;4
Rompedor oculto;;p;5
Leonid Partestrellas;;p;1
Leonid Partestrellas;;p;2
Leonid Partestrellas;;p;3
Leonid Partestrellas;;p;4
Leonid Partestrellas;;p;5
Corona de Lunastra;;p;1
Corona de Lunastra;;p;2
Corona de Lunastra;;p;3
Corona de Lunastra;;p;4
Corona de Lunastra;;p;5
Diablo asesino;;p;1
Diablo asesino;;p;2
Diablo asesino;;p;3
Diablo asesino;;p;4
Diablo asesino;;p;5
Machacador guerras;;p;1
Machacador guerras;;p;2
Machacador guerras;;p;3
Machacador guerras;;p;4
Machacador guerras;;p;5
Martillo de gato;;p;1
Martillo de gato;;p;2
Martillo de gato;;p;3
Martillo de gato;;p;4
Martillo de gato;;p;5
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
Nova de cristal;;p;1
Nova de cristal;;p;2
Nova de cristal;;p;3
Nova de cristal;;p;4
Nova de cristal;;p;5
Rompedragones;;p;1
Rompedragones;;p;2
Rompedragones;;p;3
Rompedragones;;p;4
Rompedragones;;p;5
